"H2"||"H"||2||20|||76|||||0|0|0|0|0|0|65|100|100|50|100|100|30|85|100|15|65|85|15|45|85||4.5|||6.1|||8|||13.8|||12.6||0|43|80|||||||0|12|17||||0|1|3||||1.15|1.3|1.45|||||1.36|||14|28|42|0.1|0.15|0.19|||||23.3|||7.5|||48||0|1.5|2.9|15|20|25|2|4.5|7|0|0|4|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0||||0|3.3|7.9||||4.5|5.3|6|||||||||||||||||||||||||||||||||"13888841"|"39867717"
"H3"||"H"||3||76|||152|||||0|0|0|0|0|5|45|55|95|30|40|92|15|25|80|0|7|35|70|78.5|100||3.2|||12.4|||20.6|||27.1|||15.2||0|16.5|29|||||||0|5|15||||0|0.5|1||||1.25|1.4|1.55|||||1.52|||42|92|141|0.02|0.05|0.07||10.3|||7.1|||2.1|||25||0|1.5|2.9|0|17|26|0|0|0|0|0|0|".10"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|0|2.7|8.1|||||||4.5|5.5|6.5|||||||||||||||||||||||||||||||||"13888841"|"39867718"
"H1"||"H"||1||0|||13|||||0|0|0|0|0|5|75|100|100|70|100|100|50|95|100|30|80|90|15|32.1|50||2.9|||4|||5.4|||9.9|||9.9||50|55.9|80|||||||0|12|17||||1|3|5||||1.15|1.28|1.4|||||1.34|||4|9|14|0.15|0.18|0.21|||||25.6|||9.8|||48||0|1.5|2.9|15|20|25|0|2.5|5|0|0|3|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0||||0|2|3.1||||3.6|4.6|5.5|||||||||||||||||||||||||||||||||"13888848"|"39867719"
"H2"||"H"||2||13|||56|||||0|0|0|0|0|5|75|100|100|70|100|100|50|90|100|30|70|90|15|32.1|85||2.9|||4|||5.4|||9.9|||9.9||0|55.9|80|||||||0|12|17||||0|1.5|3||||1.15|1.35|1.55|||||1.41|||4|9|14|0.1|0.15|0.19|||||24.3|||8.4|||46||0|1.5|2.9|15|20|25|0|2.5|5|0|0|3|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0||||0|2.1|4||||3.6|4.6|5.5|||||||||||||||||||||||||||||||||"13888848"|"39867720"
"H3"||"H"||3||56|||114|||||0|0|0|0|0|5|50|100|100|35|100|100|15|75|100|10|50|90|15|68.5|85||0.3|||4.7|||15.2|||29.8|||18.5||0|21.5|80|||||||0|10|17||||0|0.5|2||||1.15|1.35|1.55|||||1.41|||1.4|10|14|0.1|0.15|0.19|||||16.4|||6.7|||46||0|1.5|2.9|15|20|25|0|2.5|5|0|0|3|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0||||0|1.9|4||||4.5|5.3|6|||||||||||||||||||||||||||||||||"13888848"|"39867721"
"H4"||"H"||4||114|||152|||||0|0|0|0|0|5|50|100|100|35|100|100|15|70|100|10|40|80|15|68.5|85||0.3|||4.7|||15.2|||29.8|||18.5||0|21.5|80|||||||0|10|17||||0|0.5|1||||1.15|1.35|1.55|||||1.41|||1.4|10|14|0.04|0.1|0.16|||||16.4|||6.7|||46||0|1.5|2.9|15|20|25|0|2.5|5|0|0|2|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0||||0|1.9|4||||4.5|5.3|6|||||||||||||||||||||||||||||||||"13888848"|"39867722"
"H1"||"O"||1||0|||152|||||0|0|0|0|0|0|100|100|100|100|100|100||||||||60|||0|||1|||4|||25|||30|||30|||||||||10|||||70|84.5|99||||0.13|0.18|0.23|||||||1.5|1.4|21.7|42|0.35|0.4|0.45||||40|80|100|5|30|50||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|120.6|152.4|184.3||||||||||4.5|5.9|7.3||||||||||||||||||||||||||||||"13888855"|"39867723"
"H1"||"O"||1||0|||152|||||0|0|0|0|0|0|100|100|100|100|100|100||||||||60|||0|||1|||4|||25|||30|||30|||||||||10|||||70|84.5|99||||0.13|0.18|0.23|||||||1.5|1.4|21.7|42|0.35|0.4|0.45||||40|80|100|5|30|50||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|120.6|152.4|184.3||||||||||4.5|5.9|7.3||||||||||||||||||||||||||||||"13888861"|"39867724"
"H1"||"O"||1||0|||30|||||0|0|0|0|0|0|100|100|100|100|100|100||||||||60|||0|||1|||4|||25|||30|||30|||||||||10|||||75|87|99||||0.3|0.35|0.4|||||||1.5|1.4|21.7|42|0.35|0.4|0.45||||40|80|100|5|30|50||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|132.7|161.5|189.3||||||||||5.1|6.5|7.8||||||||||||||||||||||||||||||"13888862"|"39867725"
"H2"||"O"||2||30|||56|||||0|0|0|0|0|0|100|100|100|100|100|100||||||||60|||0|||1|||4|||25|||30|||30|||||||||10|||||75|87|99||||0.15|0.23|0.3|||||||1.5|1.4|21.7|42|0.35|0.4|0.45||||40|80|100|5|30|50||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|132.7|161.5|189.3||||||||||5.1|6.5|7.8||||||||||||||||||||||||||||||"13888862"|"39867726"
