"SM"|Yes|"39867775"|"75505715"
"ML"|No |"39867776"|"75505716"
"SM"|Yes|"39867776"|"75505717"
"ML"|No |"39867777"|"75505718"
"SM"|Yes|"39867777"|"75505719"
"CL"|Yes|"39867778"|"75505720"
"GM"|No |"39867778"|"75505721"
"ML"|No |"39867778"|"75505722"
"SM"|No |"39867778"|"75505723"
"CL"|No |"39867779"|"75505724"
"GC"|Yes|"39867779"|"75505725"
"ML"|No |"39867779"|"75505726"
"SC-SM"|No |"39867779"|"75505727"
"CL"|No |"39867780"|"75505728"
"GM"|No |"39867780"|"75505729"
"ML"|No |"39867780"|"75505730"
"SC"|Yes|"39867780"|"75505731"
"ML"|No |"39867781"|"75505732"
"CL"|No |"39867781"|"75505733"
"GC"|Yes|"39867781"|"75505734"
"PT"|Yes|"39867782"|"75505735"
"PT"|Yes|"39867783"|"75505736"
"GM"|No |"39867784"|"75505737"
"ML"|Yes|"39867784"|"75505738"
"SM"|No |"39867784"|"75505739"
"PT"|Yes|"39867785"|"75505740"
"ML"|No |"39867786"|"75505741"
"SM"|Yes|"39867786"|"75505742"
"GM"|No |"39867787"|"75505743"
"ML"|Yes|"39867787"|"75505744"
"SM"|No |"39867787"|"75505745"
"CL-ML"|No |"39867789"|"75505746"
"ML"|Yes|"39867789"|"75505747"
"SC-SM"|No |"39867789"|"75505748"
"SM"|No |"39867789"|"75505749"
"CL-ML"|No |"39867790"|"75505750"
"GM"|No |"39867790"|"75505751"
"ML"|No |"39867790"|"75505752"
"SM"|Yes|"39867790"|"75505753"
"PT"|Yes|"39867792"|"75505754"
"GM"|No |"39867793"|"75505755"
"ML"|Yes|"39867793"|"75505756"
"SM"|No |"39867793"|"75505757"
"ML"|No |"39867794"|"75505758"
"SM"|Yes|"39867794"|"75505759"
"GM"|No |"39867795"|"75505760"
"SM"|No |"39867795"|"75505761"
"ML"|Yes|"39867795"|"75505762"
"CL-ML"|No |"39867797"|"75505763"
"ML"|Yes|"39867797"|"75505764"
"SC-SM"|No |"39867797"|"75505765"
"SM"|No |"39867797"|"75505766"
"CL-ML"|No |"39867798"|"75505767"
"GM"|No |"39867798"|"75505768"
"ML"|No |"39867798"|"75505769"
"SM"|Yes|"39867798"|"75505770"
"PT"|Yes|"39867800"|"75505771"
"GM"|No |"39867801"|"75505772"
"ML"|Yes|"39867801"|"75505773"
"SM"|No |"39867801"|"75505774"
