|"Head Slope"|||"20529138"|"7012160"
|"Side Slope"|||"20529138"|"7012161"
|"Side Slope"|||"20529139"|"7012168"
|"Crest"|||"20529140"|"7012208"
|"Interfluve"|||"20529141"|"7012210"
|"Side Slope"|||"20529141"|"7012211"
|"Side Slope"|||"20529142"|"7012214"
|"Side Slope"|||"20529143"|"7012218"
|"Side Slope"|||"20529144"|"7012141"
|"Head Slope"|||"20529145"|"7012143"
|"Side Slope"|||"20529145"|"7012144"
|"Crest"|||"20529146"|"7012147"
|"Side Slope"|||"20529147"|"7012153"
|"Interfluve"|||"20529148"|"7012154"
|"Side Slope"|||"20529148"|"7012155"
|"Side Slope"|||"20529149"|"7012158"
|"Interfluve"|||"20529150"|"7012185"
|"Base Slope"|||"20529150"|"7012186"
|"Side Slope"|||"20529151"|"7012180"
|"Nose Slope"|||"20529152"|"7012178"
|"Side Slope"|||"20529152"|"7012179"
|"Interfluve"|||"20529153"|"7012174"
|"Side Slope"|||"20529153"|"7012175"
|"Side Slope"|||"20529154"|"7012169"
|"Interfluve"|||"20529155"|"7012137"
|"Side Slope"|||"20529155"|"7012138"
|"Crest"|||"20529156"|"7012132"
|"Interfluve"|||"20529157"|"7012206"
|"Side Slope"|||"20529157"|"7012207"
|"Interfluve"|||"20529158"|"7012202"
|"Side Slope"|||"20529158"|"7012203"
|"Interfluve"|||"20529159"|"7012198"
|"Base Slope"|||"20529159"|"7012199"
|"Interfluve"|||"20529160"|"7012193"
|"Side Slope"|||"20529160"|"7012194"
|"Interfluve"|||"20529161"|"7012189"
|"Side Slope"|||"20529161"|"7012190"
|"Interfluve"|||"20529162"|"7012103"
|"Base Slope"|||"20529162"|"7012104"
|"Interfluve"|||"20529163"|"7012108"
|"Side Slope"|||"20529163"|"7012109"
|"Interfluve"|||"20529164"|"7012112"
|"Side Slope"|||"20529164"|"7012113"
|"Side Slope"|||"20529165"|"7012117"
|"Head Slope"|||"20529165"|"7012118"
|"Interfluve"|||"20529166"|"7012121"
|"Base Slope"|||"20529166"|"7012122"
|"Interfluve"|||"20529167"|"7012125"
|"Side Slope"|||"20529167"|"7012126"
|"Head Slope"|||"20529167"|"7012127"
|"Interfluve"|||"20529168"|"7012078"
|"Side Slope"|||"20529168"|"7012079"
|"Base Slope"|||"20529169"|"7012082"
|"Interfluve"|||"20529169"|"7012083"
|"Nose Slope"|||"20529170"|"7012087"
|"Side Slope"|||"20529170"|"7012088"
|"Side Slope"|||"20529171"|"7012091"
|"Nose Slope"|||"20529171"|"7012092"
|"Interfluve"|||"20529172"|"7012094"
|"Base Slope"|||"20529172"|"7012095"
|"Interfluve"|||"20529173"|"7012098"
|"Side Slope"|||"20529173"|"7012099"
|"Crest"|||"20529174"|"7012055"
|"Crest"|||"20529175"|"7012057"
|"Interfluve"|||"20529176"|"7012062"
|"Side Slope"|||"20529176"|"7012063"
|"Interfluve"|||"20529177"|"7012066"
|"Side Slope"|||"20529177"|"7012067"
|"Base Slope"|||"20529178"|"7012070"
|"Interfluve"|||"20529178"|"7012071"
|"Interfluve"|||"20529179"|"7012075"
|"Crest"|||"20529179"|"7012076"
|"Crest"|||"20529180"|"7012047"
|"Crest"|||"20529181"|"7012049"
|"Crest"|||"20529182"|"7012050"
|"Crest"|||"20529183"|"7012051"
|"Crest"|||"20529184"|"7012052"
|"Crest"|||"20529185"|"7012053"
|"Base Slope"|||"20529186"|"7011995"
|"Base Slope"|||"20529187"|"7011998"
|"Crest"|||"20529188"|"7012035"
|"Crest"|||"20529189"|"7012038"
|"Crest"|||"20529190"|"7012041"
|"Crest"|||"20529191"|"7012044"
|"Side Slope"|||"20529192"|"7011937"
|"Crest"|||"20529193"|"7011979"
|"Crest"|||"20529194"|"7011981"
|"Side Slope"|||"20529195"|"7011983"
|"Base Slope"|||"20529196"|"7011986"
|"Base Slope"|||"20529197"|"7011990"
|"Base Slope"|||"20529198"|"7011921"
|"Base Slope"|||"20529199"|"7011922"
|"Crest"|||"20529200"|"7011925"
|"Crest"|||"20529201"|"7011928"
|"Crest"|||"20529202"|"7011931"
|"Side Slope"|||"20529203"|"7011934"
|"Crest"|||"20529204"|"7011897"
|"Crest"|||"20529205"|"7011907"
|"Crest"|||"20529206"|"7011910"
|"Side Slope"|||"20529207"|"7011913"
|"Base Slope"|||"20529208"|"7011919"
|"Base Slope"|||"20529209"|"7011920"
|"Crest"|||"20529210"|"7011887"
|"Crest"|||"20529211"|"7011888"
|"Side Slope"|||"20529212"|"7011889"
|"Side Slope"|||"20529213"|"7011890"
|"Side Slope"|||"20529214"|"7011891"
|"Crest"|||"20529215"|"7011894"
|"Crest"|||"20529216"|"7011869"
|"Crest"|||"20529217"|"7011872"
|"Side Slope"|||"20529218"|"7011875"
|"Side Slope"|||"20529219"|"7011878"
|"Side Slope"|||"20529220"|"7011881"
|"Side Slope"|||"20529221"|"7011884"
|"Side Slope"|||"20529222"|"7011858"
|"Crest"|||"20529223"|"7011860"
|"Crest"|||"20529224"|"7011861"
|"Side Slope"|||"20529225"|"7011862"
|"Side Slope"|||"20529226"|"7011863"
|"Side Slope"|||"20529227"|"7011864"
|"Side Slope"|||"20529228"|"7011831"
|"Side Slope"|||"20529229"|"7011834"
|"Crest"|||"20529230"|"7011850"
|"Crest"|||"20529231"|"7011852"
|"Side Slope"|||"20529232"|"7011854"
|"Side Slope"|||"20529233"|"7011856"
||"Tread"||"20529234"|"7011971"
||"Tread"||"20529235"|"7012017"
||"Tread"||"20529236"|"7012018"
||"Tread"||"20529237"|"7012034"
"Mountaintop"||||"20529238"|"7011870"
|"Crest"|||"20529238"|"7011871"
"Mountaintop"||||"20529239"|"7011873"
|"Crest"|||"20529239"|"7011874"
"Mountainflank"||||"20529240"|"7011876"
|"Side Slope"|||"20529240"|"7011877"
"Mountainflank"||||"20529241"|"7011879"
|"Side Slope"|||"20529241"|"7011880"
"Mountainflank"||||"20529242"|"7011882"
|"Side Slope"|||"20529242"|"7011883"
"Mountainflank"||||"20529243"|"7011885"
|"Side Slope"|||"20529243"|"7011886"
"Mountaintop"||||"20529244"|"7012263"
"Mountainflank"||||"20529244"|"7012264"
"Mountainflank"||||"20529245"|"7012267"
"Free face"||||"20529245"|"7012268"
"Mountaintop"||||"20529246"|"7012273"
"Mountaintop"||||"20529247"|"7012275"
|"Interfluve"|||"20529248"|"7012232"
|"Side Slope"|||"20529248"|"7012233"
|"Head Slope"|||"20529248"|"7012234"
"Mountaintop"||||"20529249"|"7012242"
"Mountaintop"||||"20529250"|"7012245"
"Mountainflank"||||"20529250"|"7012246"
|"Interfluve"|||"20529251"|"7012249"
|"Side Slope"|||"20529251"|"7012250"
|"Interfluve"|||"20529252"|"7012254"
|"Side Slope"|||"20529252"|"7012255"
|"Head Slope"|||"20529252"|"7012256"
"Mountaintop"||||"20529253"|"7012259"
"Mountainflank"||||"20529253"|"7012260"
|"Head Slope"|||"20529254"|"7012145"
|"Side Slope"|||"20529254"|"7012146"
|"Interfluve"|||"20529255"|"7012156"
|"Side Slope"|||"20529255"|"7012157"
|"Head Slope"|||"20529256"|"7012162"
|"Side Slope"|||"20529256"|"7012163"
|"Interfluve"|||"20529257"|"7012212"
|"Side Slope"|||"20529257"|"7012213"
"Mountainflank"||||"20529258"|"7012221"
"Free face"||||"20529258"|"7012222"
"Mountaintop"||||"20529259"|"7012227"
"Mountainflank"||||"20529259"|"7012228"
|"Interfluve"|||"20529260"|"7012191"
|"Side Slope"|||"20529260"|"7012192"
|"Interfluve"|||"20529261"|"7012187"
|"Side Slope"|||"20529261"|"7012188"
|"Interfluve"|||"20529262"|"7012183"
|"Base Slope"|||"20529262"|"7012184"
|"Nose Slope"|||"20529263"|"7012176"
|"Side Slope"|||"20529263"|"7012177"
|"Interfluve"|||"20529264"|"7012172"
|"Side Slope"|||"20529264"|"7012173"
|"Interfluve"|||"20529265"|"7012139"
|"Side Slope"|||"20529265"|"7012140"
|"Side Slope"|||"20529266"|"7012119"
|"Head Slope"|||"20529266"|"7012120"
|"Interfluve"|||"20529267"|"7012123"
|"Base Slope"|||"20529267"|"7012124"
|"Interfluve"|||"20529268"|"7012128"
|"Side Slope"|||"20529268"|"7012129"
|"Head Slope"|||"20529268"|"7012130"
|"Interfluve"|||"20529269"|"7012204"
|"Side Slope"|||"20529269"|"7012205"
|"Interfluve"|||"20529270"|"7012200"
|"Side Slope"|||"20529270"|"7012201"
|"Base Slope"|||"20529271"|"7012196"
|"Interfluve"|||"20529271"|"7012197"
"Mountainflank"||||"20529272"|"7012093"
|"Interfluve"|||"20529273"|"7012096"
|"Base Slope"|||"20529273"|"7012097"
|"Interfluve"|||"20529274"|"7012100"
|"Side Slope"|||"20529274"|"7012101"
|"Interfluve"|||"20529275"|"7012105"
